name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
Bitcoin,"$43,858.08",+0.91%,+18.74%,"$831,264,413,288","$22,745,751,592"
Ethereum,"$3,184.50",+3.19%,+19.28%,"$380,601,495,794","$13,614,378,473"
Tether,$1.00,+0.00%,+0.04%,"$78,099,297,786","$52,350,411,791"
BNB,$416.86,+1.38%,+13.68%,"$68,830,927,970","$1,533,649,639"
USD Coin,$1.00,-0.02%,-0.01%,"$51,862,789,459","$2,881,778,312"
XRP,$0.8648,+1.83%,+43.68%,"$41,367,017,823","$3,331,374,467"
Cardano,$1.18,+1.65%,+14.16%,"$39,540,369,783","$1,176,597,244"
Solana,$111.24,-0.43%,+13.50%,"$35,313,847,172","$1,798,700,288"
Terra,$55.87,+0.30%,+15.41%,"$22,423,959,416","$1,338,222,459"
Avalanche,$89.05,+2.12%,+30.86%,"$21,842,572,910","$941,129,297"
Polkadot,$21.55,+0.89%,+17.00%,"$21,277,528,340","$939,026,760"
Dogecoin,$0.1578,+1.05%,+14.34%,"$20,929,820,912","$765,551,002"
Shiba Inu,$0.00003252,+3.71%,+58.10%,"$17,858,228,525","$2,157,996,946"
Binance USD,$0.999,-0.01%,-0.04%,"$17,312,455,500","$3,580,620,116"
Polygon,$1.97,+2.98%,+28.97%,"$14,734,318,509","$1,426,323,164"
Crypto.com Coin,$0.511,+5.23%,+27.89%,"$12,908,634,005","$167,061,083"
Wrapped Bitcoin,"$43,916.04",+0.99%,+19.02%,"$11,502,240,766","$155,982,420"
TerraUSD,$1.00,+0.23%,-0.01%,"$11,268,240,734","$224,416,813"
Dai,$0.9996,-0.02%,-0.02%,"$10,197,165,345","$328,248,810"
Litecoin,$137.39,+1.84%,+26.85%,"$9,563,239,825","$994,689,912"
Cosmos,$30.31,+1.37%,+16.49%,"$8,679,550,419","$612,970,446"
Chainlink,$18.14,+0.88%,+15.57%,"$8,470,268,168","$575,574,936"
NEAR Protocol,$12.54,+1.02%,+18.31%,"$7,953,980,152","$461,984,384"
Uniswap,$12.07,+2.19%,+15.76%,"$7,621,529,535","$223,437,930"
TRON,$0.06922,+2.31%,+17.57%,"$7,046,284,746","$1,118,296,013"
Algorand,$1.02,+1.68%,+10.80%,"$6,725,850,945","$257,057,749"
FTX Token,$47.29,+2.92%,+11.03%,"$6,526,522,403","$152,470,058"
Bitcoin Cash,$339.55,+2.35%,+21.76%,"$6,444,208,439","$4,159,562,537"
UNUS SED LEO,$6.47,-13.02%,+55.08%,"$6,175,636,587","$18,531,888"
Decentraland,$3.26,-2.55%,+32.19%,"$5,970,275,145","$784,447,833"
Stellar,$0.2358,-0.82%,+22.65%,"$5,870,344,200","$342,105,845"
Fantom,$2.22,+2.45%,+15.95%,"$5,651,265,175","$625,542,304"
The Sandbox,$4.62,-0.12%,+28.77%,"$4,782,687,265","$823,027,389"
Ethereum Classic,$35.46,+11.58%,+36.11%,"$4,710,705,578","$861,951,907"
Bitcoin BEP2,"$43,799.29",+0.74%,+18.91%,"$4,605,464,540","$26,406,910"
Hedera,$0.2524,+1.34%,+14.38%,"$4,565,960,456","$65,481,217"
Internet Computer,$22.54,-0.94%,+6.96%,"$4,513,884,628","$189,400,225"
VeChain,$0.06584,+3.13%,+27.21%,"$4,234,728,810","$248,138,108"
Tezos,$4.51,+1.85%,+20.02%,"$3,959,242,780","$293,652,522"
Axie Infinity,$64.88,+0.94%,+33.94%,"$3,951,926,003","$454,953,438"
Elrond,$186.82,+7.69%,+33.92%,"$3,869,365,994","$144,649,904"
Filecoin,$23.68,-1.40%,+17.80%,"$3,768,995,600","$375,780,187"
Theta Network,$3.36,+2.04%,+22.92%,"$3,357,412,706","$181,329,652"
Helium,$30.34,+5.46%,+22.69%,"$3,346,370,661","$25,857,449"
